,timestamp,GPU 0,GPU 1,GPU 2,GPU 3,GPU 4,GPU 5,GPU 6,GPU 7
0,1721021938.859646,117.43,113.2,112.88,113.77,118.1,115.72,112.63,114.43
1,1721021968.86146,118.35,114.38,114.2,114.77,119.0,117.2,113.55,115.07
2,1721021998.863283,118.73,114.92,114.58,115.02,119.69,117.63,114.0,115.4
3,1721022028.866051,118.94,115.2,114.96,115.25,119.96,118.01,114.23,115.63
4,1721022058.867858,118.97,115.32,114.96,115.34,120.01,118.09,114.25,115.22
5,1721022088.869701,118.65,114.86,114.34,114.84,119.38,117.53,113.62,114.82
6,1721022118.871573,118.74,114.88,114.48,114.8,119.26,117.56,113.81,114.91
7,1721022148.873862,118.38,114.55,113.91,114.43,118.71,117.04,113.17,114.65
8,1721022178.875642,118.42,114.53,113.86,114.43,118.88,117.09,113.21,114.65
9,1721022208.877393,118.4,114.58,114.02,114.46,118.45,117.13,113.25,114.68
10,1721022238.879174,118.39,114.61,114.01,114.51,118.8,117.19,113.24,114.73
11,1721022268.880923,437.46,433.31,434.51,438.84,455.06,448.65,441.64,432.73
12,1721022298.882709,539.13,529.0,527.64,522.36,536.34,539.13,536.14,528.36
13,1721022328.884529,536.97,535.64,532.11,526.86,538.95,539.64,538.9,530.68
14,1721022358.886372,548.82,541.3,538.88,533.34,539.29,545.35,546.48,538.51
15,1721022388.888279,541.01,543.7,535.43,537.2,548.53,546.73,543.65,543.32
16,1721022418.890128,549.06,538.94,535.94,534.14,550.66,548.13,542.54,541.46
17,1721022448.89207,542.77,534.2,533.58,530.13,539.59,544.98,537.93,533.92
18,1721022478.893893,535.05,524.86,523.53,532.28,530.84,532.66,524.83,537.11
19,1721022508.895793,539.15,529.92,527.01,525.0,527.12,525.91,530.93,530.4
20,1721022538.897594,534.82,525.73,530.5,522.33,535.19,532.32,532.53,527.89
21,1721022568.899472,538.52,540.38,535.47,539.92,549.83,540.08,537.41,543.08
22,1721022598.90124,547.75,544.31,541.23,540.13,541.15,544.28,544.2,545.05
23,1721022628.902997,546.77,540.17,541.13,534.87,545.95,546.3,547.19,539.27
