,timestamp,GPU 0,GPU 1,GPU 2,GPU 3,GPU 4,GPU 5,GPU 6,GPU 7
0,1721251578.43877,115.39,115.52,119.6,117.08,111.02,115.28,121.24,116.53
1,1721251608.440436,116.33,116.76,121.23,117.92,113.74,117.14,123.45,118.2
2,1721251638.441979,115.52,116.1,120.43,116.98,112.7,116.04,121.83,116.81
3,1721251668.443466,115.61,116.22,120.65,117.02,112.75,116.22,121.94,116.57
4,1721251698.44517,115.54,116.18,120.64,117.12,112.68,116.21,121.93,116.35
5,1721251728.446701,115.46,116.15,120.58,116.84,112.59,116.17,121.83,116.53
6,1721251758.448242,115.42,116.13,120.56,116.87,112.54,116.15,121.83,116.63
7,1721251788.449803,115.29,115.95,120.41,116.74,112.44,116.03,121.71,116.51
8,1721251818.451341,115.22,115.9,120.34,116.68,112.37,115.94,121.62,116.42
9,1721251848.453017,115.19,115.83,120.24,116.66,112.32,115.91,121.6,116.38
10,1721251878.454503,115.2,115.8,120.23,116.63,112.3,115.86,121.54,116.34
11,1721251908.456019,115.0,115.77,120.18,116.59,112.25,115.85,121.54,116.29
12,1721251938.457506,115.1,115.72,120.14,116.58,112.21,115.78,121.49,116.25
13,1721251968.459025,114.97,115.67,120.11,116.56,112.19,115.76,121.47,116.22
14,1721251998.460677,114.92,115.67,120.06,116.53,112.17,115.73,121.44,116.13
15,1721252028.462267,114.92,115.66,120.09,116.53,112.18,115.72,121.47,116.2
16,1721252058.463793,115.17,115.57,120.05,116.51,112.15,115.71,121.45,116.23
17,1721252088.465429,115.29,115.47,119.88,116.35,112.0,115.48,121.24,116.07
18,1721252118.466927,115.2,115.5,119.94,116.39,112.06,115.55,121.3,115.95
19,1721252148.468629,115.29,115.54,119.98,116.55,112.11,115.61,121.3,115.76
20,1721252178.470151,120.65,116.09,120.66,117.06,112.72,116.22,121.98,116.36
21,1721252208.471811,599.91,601.17,600.91,599.16,599.46,600.2,604.96,602.29
22,1721252238.473486,642.71,642.57,645.18,637.14,639.12,638.82,644.69,639.4
23,1721252268.475353,624.86,629.44,628.07,623.05,623.11,629.35,637.34,628.09
24,1721252298.477232,629.8,629.54,637.49,630.41,628.52,627.71,639.89,632.89
25,1721252328.478972,640.89,634.86,641.13,636.23,622.65,644.03,640.26,629.36
26,1721252358.480691,641.39,642.05,644.38,634.51,629.61,639.74,643.58,629.28
27,1721252388.482238,637.67,640.79,641.1,633.36,631.31,634.42,640.66,629.52
28,1721252418.483904,633.64,634.33,638.52,635.02,628.14,634.74,639.5,634.92
29,1721252448.48557,632.12,638.0,640.97,634.44,631.21,632.34,640.49,630.21
30,1721252478.48727,629.82,641.07,637.85,642.49,629.61,634.88,638.45,637.67
31,1721252508.488913,640.62,637.4,637.87,637.89,642.04,641.68,637.19,642.35
32,1721252568.497056,630.69,629.18,639.94,628.13,627.32,634.91,632.63,629.0
33,1721252598.498831,630.48,634.88,635.44,630.1,630.89,632.6,634.99,630.98
34,1721252628.500455,634.79,636.41,641.63,642.59,636.76,639.0,634.73,638.34
35,1721252658.502104,645.69,650.06,647.15,646.16,644.59,634.74,656.74,648.29
36,1721252688.503725,597.23,599.26,602.69,604.86,598.53,592.57,599.84,599.55
37,1721252718.505401,119.42,121.91,128.09,121.11,116.53,122.43,127.7,121.06
38,1721252748.50713,116.11,117.97,122.95,118.15,112.97,117.49,122.64,116.79
39,1721252778.508773,116.14,117.89,122.05,118.12,112.75,117.02,122.65,116.82
40,1721252808.510392,114.71,115.73,120.4,117.1,111.68,115.56,121.04,115.46
41,1721252838.512061,114.52,115.35,120.0,116.71,111.38,115.15,120.7,115.17
42,1721252868.513694,114.5,115.41,119.78,115.89,111.49,115.16,120.76,115.26
43,1721252898.515259,114.66,115.7,119.57,116.11,111.54,115.44,121.18,115.95
44,1721252928.517028,329.07,334.56,337.47,333.47,332.78,336.42,341.49,335.57
45,1721252958.518611,628.6,633.99,630.86,625.88,627.6,626.16,638.63,628.38
46,1721252988.520135,635.5,638.46,645.36,633.13,623.12,636.94,637.89,636.14
47,1721253018.521677,628.5,633.39,636.43,639.02,633.05,626.38,635.55,634.74
48,1721253048.523399,642.03,646.74,646.28,643.0,637.35,640.35,656.27,645.7
49,1721253078.525087,640.39,630.78,643.85,638.8,631.02,641.31,639.51,632.45
50,1721253108.526671,628.13,630.82,635.6,622.95,624.25,633.53,630.6,631.32
51,1721253138.528476,648.79,649.3,652.5,650.11,643.41,642.14,646.06,649.3
52,1721253168.530194,642.95,643.12,640.58,631.09,627.41,632.73,644.11,628.6
53,1721253198.531844,633.87,634.83,639.02,643.92,638.7,632.99,636.37,633.58
54,1721253228.533421,631.51,637.51,639.85,632.48,636.49,636.01,640.12,634.46
55,1721253258.535109,637.44,640.83,646.37,639.93,636.85,636.2,647.88,632.03
56,1721253318.537945,634.03,634.24,627.44,638.59,630.69,632.56,627.86,624.47
57,1721253348.539479,647.49,644.9,653.25,660.06,652.85,645.7,647.59,650.06
58,1721253378.541166,618.92,628.94,625.62,618.24,617.73,626.59,628.76,623.46
59,1721253408.542729,631.27,628.84,635.25,635.69,628.17,641.18,636.99,623.88
60,1721253438.544234,647.7,653.63,650.1,644.59,638.18,647.29,652.33,639.54
61,1721253468.545883,630.06,637.4,638.38,635.96,635.9,632.05,640.06,628.86
62,1721253498.547404,633.87,632.83,634.99,626.92,631.75,625.01,637.95,633.6
63,1721253528.548959,628.17,637.16,640.74,637.22,631.41,630.3,638.78,634.4
64,1721253558.550558,306.43,313.08,318.37,306.36,301.77,308.98,316.06,312.39
65,1721253588.552086,116.87,118.9,124.45,118.7,113.64,118.49,123.71,117.58
66,1721253618.553649,115.66,117.42,122.02,117.08,112.77,116.99,122.33,116.5
67,1721253648.555285,114.91,116.02,120.1,116.19,111.85,115.84,121.26,115.65
68,1721253678.556889,114.52,115.41,119.49,115.81,111.42,115.22,120.72,115.22
69,1721253708.558462,114.64,115.52,119.51,116.07,111.65,115.27,120.94,115.37
70,1721253738.560156,114.8,115.69,119.73,116.09,111.58,115.28,121.16,115.57
71,1721253766.091827,145.33,147.83,150.44,149.15,142.23,144.06,151.97,145.62
72,1721249572.24798,117.39,124.99,120.6,120.97,119.15,115.79,117.87,117.71
