,timestamp,GPU 0,GPU 1,GPU 2,GPU 3,GPU 4,GPU 5,GPU 6,GPU 7
0,1721411407.71349,111.92,112.82,116.37,112.47,116.41,118.46,116.49,113.86
1,1721411437.715367,112.2,113.1,116.68,112.68,116.69,118.83,116.52,114.11
2,1721411467.717236,113.3,114.72,118.15,114.22,118.06,120.2,118.07,114.73
3,1721411497.719084,113.39,114.97,118.52,114.64,118.21,120.66,118.24,114.46
4,1721411527.720897,113.5,115.23,118.51,114.22,118.37,120.79,118.39,114.6
5,1721411557.722726,113.54,115.1,118.51,114.29,118.37,120.83,118.55,114.82
6,1721411587.724523,113.07,114.27,118.15,113.81,117.51,120.08,117.78,114.19
7,1721411617.726268,114.38,115.66,120.39,115.53,119.05,122.26,119.55,116.84
8,1721411647.728101,116.88,114.11,117.73,113.44,117.61,119.93,117.73,114.76
9,1721411677.72983,117.26,114.11,117.86,113.88,117.26,120.07,117.47,114.7
10,1721411707.731651,112.82,113.78,117.06,112.9,116.96,119.52,117.3,114.34
11,1721411737.733506,112.84,113.67,117.36,112.95,116.91,119.61,117.17,114.03
12,1721411767.735281,112.63,113.49,117.41,113.26,116.7,119.44,116.97,113.84
13,1721411797.737449,112.56,113.4,117.05,113.21,116.63,119.39,116.89,113.72
14,1721411827.739402,112.49,113.34,117.23,112.73,116.59,119.31,116.9,113.71
15,1721411857.746326,117.57,118.15,124.81,118.06,124.39,127.09,122.22,117.99
16,1721411887.748144,440.94,436.5,455.73,436.19,451.1,444.01,453.37,442.35
17,1721411917.749986,624.01,622.87,635.44,606.97,635.54,627.11,618.34,609.69
18,1721411978.103164,637.5,625.5,640.47,628.61,650.22,642.96,637.51,624.64
19,1721412008.104985,645.47,637.83,644.1,633.22,650.79,654.69,637.28,628.11
20,1721412038.106664,629.94,630.19,643.35,630.43,655.83,643.42,644.12,636.84
21,1721412068.143448,636.05,633.05,646.43,638.07,656.08,646.54,643.72,639.95
22,1721412128.146645,648.47,637.4,637.58,633.77,658.76,645.66,648.57,628.8
23,1721412158.384178,643.7,631.84,651.63,632.28,661.36,645.33,650.05,642.82
24,1721412188.385919,637.8,634.39,650.23,629.35,649.41,647.95,641.94,634.0
25,1721412248.389084,638.17,634.29,650.32,634.44,654.85,642.98,649.87,643.83
26,1721412278.389809,638.15,631.58,645.92,629.19,653.1,647.19,640.16,633.66
27,1721412308.502062,634.53,628.79,638.04,632.88,658.99,631.51,644.4,632.31
28,1721412368.506887,638.11,631.6,649.31,635.51,659.13,646.07,648.95,637.57
29,1721412398.785022,639.9,630.43,650.64,636.55,656.93,650.09,651.1,645.66
30,1721412428.786761,641.53,632.84,650.09,629.31,654.92,642.31,649.25,642.76
31,1721412458.788422,639.4,636.12,647.86,636.8,661.38,648.95,649.23,642.51
32,1721412519.010327,639.14,635.32,642.61,637.85,657.03,646.15,645.15,637.66
