run,timestamp,GPU 0,GPU 1,GPU 2,GPU 3,GPU 4,GPU 5,GPU 6,GPU 7
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755131964.0283322,115.297,111.756,113.84,109.988,115.066,109.589,112.347,114.635
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755132444.0271926,465.785,480.285,479.218,493.224,522.563,501.769,534.782,542.322
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755132519.0276353,480.39,495.191,504.904,480.005,523.964,516.334,553.706,460.823
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755133089.0277765,494.633,518.79,476.987,467.918,529.424,497.451,487.541,526.801
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755133674.0283341,516.548,470.853,487.784,497.044,495.782,470.782,496.174,488.016
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755134019.02815,485.519,498.074,526.795,521.998,513.167,509.878,548.033,523.931
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755134154.0281518,538.934,511.556,540.041,541.785,549.462,534.351,552.205,555.487
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755134439.0281193,465.499,480.354,468.001,490.647,530.949,531.178,562.23,534.633
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755134514.027693,510.589,503.629,506.548,507.318,515.482,508.562,513.181,504.154
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755134739.028256,475.227,476.911,491.034,461.341,511.628,469.06,491.713,476.069
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755134934.0284996,510.896,498.512,511.888,501.396,514.871,496.19,512.511,501.878
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755135339.0282145,243.068,233.961,241.668,236.796,254.271,237.081,247.195,245.977
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755135639.0281715,458.348,470.671,508.166,515.655,548.986,544.953,481.776,450.805
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755135744.0279465,485.515,498.973,528.252,492.953,522.26,507.229,552.262,532.207
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755135939.028117,316.872,321.96,350.297,332.666,341.5,319.445,336.618,331.439
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755136224.0277917,494.919,495.177,494.004,477.961,522.106,485.157,485.308,477.094
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755136569.0272584,526.045,527.58,534.36,547.768,544.5,506.472,557.554,516.422
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755136689.0276637,501.896,521.411,555.359,568.24,497.931,519.956,555.357,573.124
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755136764.0282702,490.122,491.707,482.061,479.231,490.11,535.199,569.403,496.004
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755137094.028308,505.214,506.504,514.39,507.917,522.566,506.407,532.357,540.608
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755137874.0279524,493.126,481.349,501.026,489.519,509.515,479.953,499.79,491.906
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755138009.0277774,480.419,507.06,513.331,544.586,548.258,486.98,520.72,535.635
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755138504.0275302,459.385,481.526,506.544,463.177,509.464,503.685,539.203,512.879
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755138879.0278292,464.854,490.268,516.648,530.397,550.903,502.995,493.983,509.65
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755138939.0279665,461.431,475.595,485.717,468.161,517.885,510.155,528.489,537.129
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755139029.028388,471.246,488.265,524.409,521.915,564.475,435.187,496.591,511.958
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755139074.028378,450.867,470.984,499.721,514.022,555.83,490.361,475.436,482.926
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755139269.02745,527.834,517.476,523.691,505.819,528.145,508.878,525.136,510.595
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755139314.0275457,476.235,476.646,492.968,501.998,552.609,548.733,568.621,482.436
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755139839.02772,492.884,524.124,564.242,526.379,533.17,527.07,573.178,574.362
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755139899.0278645,494.549,508.716,504.779,509.569,544.299,562.332,591.751,466.884
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755140259.0285287,508.778,510.183,519.971,507.076,526.963,495.817,523.125,502.06
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755140349.0283654,130.276,122.549,135.705,123.979,135.508,122.635,128.413,128.637
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755140694.0281415,484.459,515.075,554.006,531.105,509.34,517.195,551.556,531.35
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755140754.0279126,513.696,534.26,509.347,534.01,521.686,533.759,562.601,499.137
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755140859.0279694,480.188,514.756,533.546,568.801,509.102,511.219,553.323,547.439
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755141189.0283523,458.78,478.686,515.104,529.718,568.442,505.647,481.231,480.944
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755141219.0283828,479.023,483.752,516.273,529.656,576.523,559.572,555.302,468.945
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755142239.027762,498.69,504.954,535.005,521.783,549.444,505.901,521.172,519.232
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755142374.027375,463.854,474.574,505.629,506.558,534.463,508.017,510.674,492.646
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755142704.027967,342.04,324.288,352.67,334.671,366.527,365.694,380.958,362.913
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755142884.0277545,502.117,483.855,492.441,492.804,515.481,470.352,494.941,502.096
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755143319.0280833,428.879,419.683,449.679,432.85,492.782,483.064,507.571,478.08
